Date,Open,High,Low,Close,Volume
2015-06-10,364.75,366.5,356.75,357.25,349011
2015-06-11,357.5,360.0,354.5,356.5,256052
2015-06-12,356.0,356.75,352.25,353.0,223042
2015-06-15,353.0,353.25,346.75,348.25,261742
2015-06-16,349.0,354.25,347.5,354.0,253135
2015-06-17,353.75,361.25,353.75,359.25,197540
2015-06-18,359.0,361.25,356.0,358.0,180245
2015-06-19,357.75,358.0,351.75,353.25,164909
2015-06-22,352.75,360.5,350.5,360.0,179336
2015-06-23,361.0,368.75,360.5,367.5,202628
2015-06-24,367.0,371.0,363.25,366.5,210672
2015-06-25,366.0,377.0,363.5,376.5,176632
2015-06-26,376.0,390.0,375.5,385.0,191984
2015-06-29,383.75,391.75,381.75,383.25,138122
2015-06-30,383.25,415.0,382.75,414.0,39750
2015-07-01,411.0,417.0,403.0,413.75,18653
2015-07-02,413.0,422.0,409.75,419.75,11002
2015-07-06,417.75,419.5,409.0,418.5,10263
2015-07-07,412.5,416.0,407.75,415.75,6959
2015-07-08,414.75,420.75,411.75,416.25,5780
2015-07-09,416.5,425.0,416.5,421.25,5157
2015-07-10,420.0,431.0,418.0,427.25,1961
2015-07-13,427.0,434.25,424.0,433.5,1528
2015-07-14,433.75,436.25,423.25,424.0,157441
2015-07-15,427.0,431.75,421.0,429.5,155160
2015-07-16,430.25,438.75,428.25,430.0,144241
2015-07-17,428.0,429.5,418.25,420.25,108363
2015-07-20,418.5,418.5,404.5,405.0,115539
2015-07-21,406.5,410.25,402.5,406.5,99828
2015-07-22,407.25,407.5,399.75,402.75,102950
2015-07-23,403.5,405.25,398.5,403.25,91749
2015-07-24,403.25,403.5,392.0,392.5,95623
2015-07-27,389.0,389.25,372.5,373.0,168643
2015-07-28,373.5,376.0,370.0,375.0,90252
2015-07-29,377.5,377.75,367.0,367.75,102337
2015-07-30,367.75,374.5,365.75,373.25,122979
2015-07-31,374.75,377.5,369.25,371.0,108953
2015-08-03,370.0,370.5,365.0,366.5,87164
2015-08-04,368.0,372.75,366.75,368.75,84695
2015-08-05,368.75,373.75,367.5,372.75,124085
2015-08-06,372.5,375.0,369.25,369.75,90804
2015-08-07,370.0,375.0,366.5,372.75,135952
2015-08-10,374.0,391.5,373.75,390.25,179127
2015-08-11,388.5,388.5,376.0,376.5,150143
2015-08-12,377.0,382.75,346.5,357.25,213756
2015-08-13,358.25,364.75,355.25,363.75,171458
2015-08-14,363.75,365.75,359.75,364.0,121627
2015-08-17,363.5,368.0,361.25,363.25,96021
2015-08-18,363.0,368.25,361.75,366.25,92424
2015-08-19,366.0,372.0,365.75,367.25,95765
2015-08-20,367.0,371.75,367.0,371.0,106836
2015-08-21,370.25,372.5,364.0,365.25,96220
2015-08-24,365.0,370.25,354.0,368.75,157282
2015-08-25,368.0,375.0,363.75,365.5,110032
2015-08-26,365.25,369.0,361.5,361.75,82911
2015-08-27,362.5,367.25,360.25,363.75,128432
2015-08-28,362.5,368.75,362.25,363.25,121534
2015-08-31,362.25,365.25,359.75,363.75,26929
2015-09-01,362.5,362.5,355.25,356.0,14224
2015-09-02,356.75,358.0,351.25,354.0,8732
